commentCount,dislikeCount,etag,favoriteCount,id,likeCount,viewCount
495,86,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/mHPv3actnAmdh44PxF_0kXcvA5s""",0,22SiIDvyJeM,4359,322145
168,32,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/3zbv4vGAZ_WWCGiTvZ9j3mBLZOw""",0,cVqFG2pxK2A,1429,107564
133,38,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/ILIWxbpSJ9JMICNgnrxI8EdDP9k""",0,E3IAMvO8GyM,1556,181688
241,54,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/FyoYbuyedDynuXRRqKBRXyE04uM""",0,0uVe8T-vVVg,1965,227903
186,14,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/4AoZFkquzuQeRvxtmqAj6-4ZkoA""",0,mxJ2On9wyvY,1285,99884
1196,136,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/gGeJdXfsxlRIa3B41hbND6fg_xM""",0,IeFbdk36MUU,14339,715192
339,105,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/MMA-HVH2kSqclbtwA2gpW3SKja4""",0,Wj-3ct7RvAI,4059,478617
158,30,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/gWTot5zePAP10QOoTv8TBJ168IA""",0,ZKxFvyyOBPQ,1959,172101
364,100,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/ADq2QhidrkClWdshJD3kBxPPu6I""",0,kNZssD9zWlw,3074,452449
216,16,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/y0dvr_-TwjOPrNWv6mmPMbF3wTo""",0,SrN4A9rVXj0,1770,96890
503,51,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/B7OQT0lLyCM8U_rPxureLOxIZto""",0,rRjnHdr9DmU,3725,222642
145,17,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/DQoFh7xB-nLdnM0TDFUEU3IFAfU""",0,VPfYRj4DDco,1725,139237
233,30,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/R_7ugD3eOOyoJvgKAyhKLBm7cmM""",0,pA_2paUhBAQ,2024,155872
136,13,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/9zsg88fqIHL1KYqZ3NZPpDQ5f3Y""",0,aiK9xOIJtV8,1307,103328
