id,title,viewCount,likeCount,favoriteCount,dislikeCount,commentCount,episode_title,season_num,episode_num
Fw6odlNp7_8,Bob Ross - Happy Accident (Season 11 Episode 13),157050,2507,0,34,367,happy accident,11,13
p6Uy2qOLvGk,Bob Ross - Cliffside (Season 20 Episode 6),82789,1185,0,11,176,cliffside,20,6
uJLK85uU5mA,Bob Ross - Fisherman's Paradise (Season 25 Episode 11),78514,1193,0,20,237,,,
flCWS9LB4Ks,Bob Ross - Rivers Peace (Season 23 Episode 6),54993,755,0,13,92,rivers peace,23,6
u0Bz6TNUK1Q,Bob Ross - Ocean Sunrise (Season 5 Episode 6),73315,783,0,49,95,ocean sunrise,5,6
ywpo0kGpf_g,Duff Goldman - Bob Ross: The Happy Painter.,14597,633,0,25,120,,,
K6tUilWczjc,Bob Ross - Warm Winter Days,51689,499,0,4,37,,,
NXQedlBe1V8,Brad Paisley - Bob Ross: The Happy Painter,24689,1085,0,53,199,,,
jWq3GLwc4mk,Bob Ross - Christmas Eve Snow,27181,176,0,1,13,,,
dK5Jl2CB0Bc,Bob Ross: The Joy of Painting - Times Past,241521,245,0,17,53,,,
PELNMB0T4Qk,Friends of Bob Ross: Velma Bartlemay - Yellow Roses and Lilac,26800,77,0,10,4,,,
gqdzXNsL_2o,Bob Ross Channel Trailer,576525,9312,0,211,1128,,,
IWmgEOxVynU,Bob Ross - Trail's End,15802,148,0,4,3,,,
fwv4SbVhwKY,Friends of Bob Ross: Joyce Ortner - Workshop,15417,39,0,1,4,,,
DFZTmglPKag,Friends of Bob Ross: Ben Stahl - The ABCs of Art,15277,78,0,1,5,,,
IOykr7eCGGQ,Friends of Bob Ross: Georgia Feazle - Winter Landscape,2847,9,0,0,0,,,
2R4WJKr5huI,Bob Ross - Final Grace,18703,134,0,2,11,,,
fvXBJOBzTEk,Friends of Bob Ross: Ben Stahl - Journey Into Art,8819,35,0,1,5,,,
H79UJ0ktOrE,Bob Ross - Joy of Painting (Short Clip),27681,210,0,8,12,,,
oBqnhnJ7PH4,Friends of Bob Ross: Dorothy Dent - Old Barn in Spring,13414,35,0,1,2,,,
cBorwNLxlGM,Bob Ross: The Joy of Painting - A Dramatic Mountain Waterfall,322064,413,0,19,47,,,
vAIKFontLtU,Bob Ross: The Joy of Painting - Beat the Devil Out of It,319346,629,0,25,52,,,
skhI94v4-pY,Friends of Bob Ross: Joyce Ortner - Blue Waves at Sunset,16667,31,0,1,2,,,
b-KIaAjlcKI,Friends of Bob Ross: Dorothy Dent - Rustic Cabin,7802,19,0,1,1,,,
zv8Oc49eIiQ,Bob Ross: The Joy of Painting - A Little Friend Named Clyde,76897,167,0,4,19,,,
DDVSGsOXXRI,Friends of Bob Ross: Marilyn White - Lily,8522,21,0,1,0,,,
DqQQF3CG-5k,Bob Ross - Wilderness Cabin,28030,166,0,6,6,,,
O9N2UJDrcmo,Friends of Bob Ross: Zoltan Szabo - Large Waterfalls,5958,10,0,0,1,,,
u9ZgMICnkew,Bob Ross: The Joy of Painting - Winter Glory,154489,150,0,2,15,,,
Qt689sNa2hk,Friends of Bob Ross: Velma Bartlemay - Peach Iris,12943,44,0,3,8,,,
OX8xVftE6ak,Bob Ross: The Joy of Painting - A Window on Winter,63251,190,0,2,15,,,
TJEmH7QYf0w,Bob Ross: Wildlife Painting with Bea Cox - Jaguar,21702,52,0,4,5,,,
fEr2esChwvw,Bob Ross: The Joy of Painting - Peace Offering of Summer,175976,224,0,13,15,,,
OoDOzU4_KMM,Bob Ross: The Joy of Painting - A Cold Winter Scene,93280,670,0,6,94,,,
CXVTrgG9gOw,Friends of Bob Ross: Dorothy Dent - Mill on a Sawblade,10214,31,0,0,0,,,
GAQ1qKcLy1g,Bob Ross:The Joy of Painting - Workshop Clip,42086,39,0,1,2,,,
LonIvOb_psk,Friends of Bob Ross: Art Kerner - Big Sky,3845,9,0,0,1,,,
YaeW5V1fzEc,Friends of Bob Ross: Dorothy Dent Workshop,6885,18,0,1,1,,,
U9aTwqPmq3c,Bob Ross: The Joy of Painting - Trees in the Distance,39863,73,0,5,6,,,
QdRa-pMYEoQ,Bob Ross: The Joy of Painting - Stones in One Stroke,37982,82,0,4,4,,,
pr_2ggkdhZU,Friends of Bob Ross: Art Kerner - Lake of Woods,5632,17,0,0,0,,,
0cAdZ5Vp_Mw,Friends of Bob Ross: Ellen Tye - Portrait of a Horse,11424,30,0,3,6,,,
-MiX6g-1zwI,Bob Ross: The Joy of Painting - A Happy Little Waterline,25679,86,0,0,3,,,
-w2auyMPXVw,Friends of Bob Ross: Georgia Feazle - Dancing Bears (from DVD #GF02D),2718,11,0,0,4,,,
JvttFYHLBtU,Friends of Bob Ross: Dorothy Dent - Winter Delight,7604,15,0,0,2,,,
nIe6_zu2j7g,Friends of Bob Ross: Kathy Snider - Wallpaper Painting,2317,5,0,0,3,,,
